1,1980-11-13 07:53:23,259.07, Ear Blind, General Belongings
2,1972-08-11 03:12:25,24.25, Earthmark, General Belongings
3,2004-12-19 19:36:16,779.35, DyoRama, Random Group
4,1979-03-07 04:57:39,736.81, DyeNamo, General Belongings
5,2015-07-22 08:28:21,162.81, Airplex,Generic Things
6,1996-12-18 21:51:38,424.45, Captain Fennel, Common Items
7,1976-02-03 14:04:17,209.66, E. Vixen, Common Items
8,1986-01-05 10:03:07,681.25, E. Vixen, Some Stuff
9,2014-12-05 20:08:30,113.25, Affluex, Random Group
10,1983-09-03 16:33:59,787.30, CaptiVite, Random Group
11,2014-09-24 11:36:51,126.63, Captain Bamboo, General Belongings
12,1994-07-11 09:17:17,551.50, Aftertizer,Generic Things
13,1993-06-19 11:02:48,155.02, Earthmark, Some Stuff
14,1999-09-10 14:44:37,114.98,Aesthetic Bug Gloss, Some Stuff
15,1980-03-17 12:57:05,65.07, Air Bingo, Common Items
16,1980-11-11 05:53:38,196.22, Airborne Pickle, General Belongings
17,1999-07-09 09:03:14,866.01, CanvArt, Some Stuff
18,2009-11-12 14:48:15,360.65, E. Vixen, Some Stuff
19,1990-08-22 01:58:06,731.73, Earbang, General Belongings
20,2015-06-28 16:15:12,610.60, Air Bingo, General Belongings
21,2005-09-28 23:02:35,581.78, Earthmark, Common Items
22,1970-06-05 20:12:31,367.63, Candy Floss, Some Stuff
23,2001-05-28 07:00:31,940.23, AirHead, Common Items
24,1998-04-12 15:54:19,727.14, Candy Palanquin, Random Group
25,2017-02-23 01:44:33,781.98, Earth to Earth,Generic Things
26,2010-05-17 18:07:07,147.68, Capri-corndog, General Belongings
27,1971-08-21 20:59:05,14.47, Eargo, General Belongings
28,1972-11-07 03:03:32,47.35, Eargo, Some Stuff
29,1999-10-18 05:22:24,86.15, CaptiVite, Common Items
30,2013-06-28 18:38:12,110.01, Captain Zip, Random Group
31,2017-03-31 00:39:10,658.46, Canopoly, Some Stuff
32,1974-01-24 09:40:13,541.30, Air Fair,Generic Things
33,2018-01-19 08:25:51,350.42, Captain Fennel,Generic Things
34,2006-02-07 17:46:41,361.59, AirDock, Some Stuff
35,1974-03-05 05:47:49,634.69, Agriox, Common Items
36,1999-03-28 15:19:06,192.20, Air Fair, General Belongings
37,1996-12-28 07:41:37,26.74, CanvArt,Generic Things
38,1998-10-07 23:35:25,639.08, Air Bingo, Common Items
39,1971-01-19 20:50:37,146.08, Dyenamic, Some Stuff
40,1975-11-12 15:36:40,654.23, Captain Fennel, Some Stuff
41,1995-03-12 03:38:55,311.32, Earthscope, Some Stuff
42,2000-05-01 14:07:36,474.26, Aftertizer,Generic Things
43,1971-06-29 08:22:29,651.94, Eargo, Random Group
44,1976-04-06 16:12:38,135.37, Earthpure, Common Items
45,1978-07-08 05:47:06,131.67, Capri-corndog, Some Stuff
46,2017-01-12 09:59:29,933.55, Candy Palanquin, General Belongings
47,1972-02-22 20:02:55,229.22, Earthscope, Common Items
48,1980-01-24 21:40:01,606.66, Airborne Pickle,Generic Things
49,1992-06-16 22:58:09,511.86, DyoRama, Common Items
50,1992-07-28 09:11:54,488.59, Airplex, Some Stuff
